,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
papa,184.0,28.0,75.0,13.0,28.0,4.0,25.0,,,59.0,55.0,,8.0,25.0,8.0,29.0,52.0,49.0,38.0,14.0,,40.0,,2.0,3.0,2.0,,4.0,,2.0,4.0,8.0,9.0,3.0,,,,16.0,,2.0,,,,,,
bear,402.0,75.0,131.0,38.0,43.0,11.0,13.0,1.0,7.0,57.0,61.0,3.0,100.0,27.0,14.0,16.0,19.0,40.0,51.0,20.0,31.0,8.0,4.0,5.0,4.0,,2.0,19.0,13.0,6.0,12.0,13.0,22.0,7.0,8.0,5.0,1.0,,3.0,1.0,1.0,,,,,
someone,3804.0,566.0,2199.0,772.0,337.0,85.0,124.0,46.0,61.0,321.0,451.0,3.0,523.0,380.0,170.0,128.0,167.0,595.0,295.0,435.0,128.0,61.0,45.0,70.0,85.0,53.0,35.0,235.0,131.0,57.0,157.0,161.0,34.0,38.0,7.0,42.0,20.0,22.0,33.0,39.0,,2.0,2.0,,,
sing,3135.0,501.0,1769.0,629.0,413.0,57.0,117.0,50.0,16.0,416.0,539.0,3.0,372.0,335.0,141.0,134.0,138.0,604.0,352.0,307.0,575.0,122.0,68.0,39.0,79.0,37.0,18.0,186.0,68.0,64.0,99.0,197.0,113.0,76.0,50.0,34.0,9.0,17.0,12.0,9.0,16.0,2.0,7.0,2.0,2.0,
big,2986.0,389.0,1483.0,408.0,301.0,59.0,83.0,22.0,93.0,2298.0,2073.0,3.0,374.0,419.0,125.0,183.0,146.0,765.0,205.0,390.0,56.0,145.0,22.0,55.0,35.0,38.0,16.0,209.0,127.0,31.0,75.0,126.0,97.0,35.0,21.0,21.0,2.0,24.0,13.0,33.0,,3.0,2.0,,2.0,
words,3752.0,542.0,1711.0,687.0,302.0,54.0,94.0,44.0,82.0,430.0,463.0,16.0,645.0,250.0,189.0,153.0,77.0,331.0,198.0,337.0,270.0,46.0,100.0,59.0,52.0,19.0,35.0,150.0,153.0,41.0,51.0,138.0,70.0,46.0,5.0,31.0,11.0,21.0,20.0,18.0,4.0,4.0,3.0,,,
brothers,398.0,63.0,105.0,38.0,57.0,2.0,8.0,2.0,5.0,294.0,224.0,5.0,107.0,28.0,21.0,4.0,18.0,85.0,41.0,8.0,21.0,21.0,2.0,,7.0,4.0,,217.0,4.0,1.0,2.0,16.0,31.0,7.0,10.0,4.0,,5.0,1.0,5.0,,,,,,
keep,8206.0,1354.0,5870.0,1596.0,698.0,158.0,203.0,55.0,146.0,3504.0,4073.0,5.0,1172.0,680.0,432.0,185.0,384.0,2302.0,838.0,1565.0,372.0,227.0,125.0,120.0,95.0,111.0,153.0,910.0,210.0,102.0,261.0,471.0,318.0,171.0,39.0,42.0,64.0,78.0,29.0,119.0,12.0,1.0,9.0,,,2.0
small,694.0,151.0,448.0,135.0,94.0,12.0,24.0,6.0,15.0,197.0,201.0,,74.0,99.0,20.0,4.0,16.0,81.0,34.0,75.0,31.0,19.0,12.0,9.0,12.0,9.0,3.0,35.0,46.0,9.0,6.0,37.0,13.0,5.0,6.0,3.0,2.0,1.0,2.0,4.0,,3.0,2.0,,4.0,
lost,5619.0,819.0,2400.0,767.0,448.0,156.0,170.0,44.0,77.0,614.0,658.0,15.0,1290.0,421.0,330.0,91.0,189.0,505.0,267.0,490.0,282.0,62.0,107.0,81.0,81.0,42.0,88.0,339.0,224.0,59.0,78.0,188.0,55.0,55.0,16.0,34.0,61.0,29.0,36.0,38.0,10.0,2.0,2.0,,1.0,
difference,325.0,44.0,164.0,45.0,36.0,1.0,11.0,3.0,9.0,74.0,85.0,2.0,33.0,26.0,43.0,7.0,11.0,61.0,48.0,29.0,16.0,9.0,12.0,3.0,7.0,2.0,5.0,10.0,32.0,3.0,15.0,12.0,13.0,11.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,,,
between,1437.0,253.0,766.0,275.0,166.0,32.0,26.0,16.0,33.0,240.0,301.0,2.0,305.0,131.0,67.0,18.0,37.0,254.0,96.0,123.0,53.0,27.0,22.0,36.0,22.0,15.0,12.0,87.0,80.0,25.0,46.0,40.0,28.0,19.0,4.0,8.0,9.0,19.0,6.0,19.0,,,,,,
whisper,499.0,67.0,272.0,114.0,51.0,7.0,24.0,9.0,17.0,26.0,49.0,2.0,86.0,55.0,14.0,18.0,19.0,79.0,42.0,37.0,47.0,30.0,6.0,6.0,1.0,18.0,10.0,39.0,15.0,15.0,18.0,31.0,3.0,4.0,3.0,5.0,7.0,7.0,4.0,4.0,3.0,1.0,2.0,,,
echo,142.0,26.0,77.0,15.0,14.0,5.0,5.0,3.0,10.0,27.0,103.0,2.0,37.0,12.0,11.0,1.0,3.0,90.0,5.0,12.0,21.0,3.0,4.0,,1.0,1.0,9.0,47.0,9.0,,2.0,5.0,1.0,6.0,,1.0,1.0,,,,,,,,,
call,4684.0,812.0,2732.0,757.0,439.0,57.0,137.0,44.0,60.0,2271.0,2444.0,19.0,735.0,410.0,290.0,93.0,221.0,1337.0,406.0,702.0,244.0,131.0,70.0,111.0,86.0,57.0,89.0,336.0,188.0,37.0,86.0,168.0,115.0,64.0,16.0,21.0,21.0,42.0,21.0,76.0,1.0,,5.0,1.0,1.0,
headed,178.0,27.0,103.0,34.0,23.0,3.0,,2.0,1.0,115.0,114.0,,25.0,53.0,17.0,3.0,11.0,30.0,12.0,16.0,27.0,5.0,1.0,1.0,2.0,1.0,10.0,5.0,3.0,17.0,3.0,10.0,2.0,4.0,,1.0,,2.0,,2.0,,,,,,
ocean,703.0,180.0,364.0,91.0,108.0,13.0,28.0,2.0,11.0,89.0,156.0,1.0,107.0,75.0,28.0,18.0,43.0,71.0,36.0,135.0,52.0,10.0,10.0,4.0,20.0,20.0,17.0,65.0,43.0,5.0,9.0,27.0,21.0,20.0,15.0,10.0,5.0,4.0,9.0,5.0,,,,,,
let,15026.0,2134.0,11728.0,3197.0,1009.0,292.0,397.0,169.0,224.0,4596.0,5906.0,57.0,2340.0,1229.0,916.0,312.0,545.0,4460.0,1638.0,3109.0,1256.0,321.0,323.0,275.0,235.0,115.0,342.0,1682.0,399.0,190.0,468.0,779.0,487.0,191.0,82.0,88.0,92.0,83.0,116.0,140.0,72.0,2.0,4.0,,6.0,4.0
guide,402.0,42.0,161.0,55.0,33.0,3.0,10.0,5.0,5.0,38.0,51.0,4.0,166.0,28.0,30.0,5.0,9.0,50.0,26.0,19.0,58.0,18.0,10.0,5.0,5.0,2.0,7.0,20.0,31.0,3.0,13.0,26.0,32.0,15.0,2.0,4.0,2.0,3.0,7.0,5.0,,,,,,
ill,15616.0,2435.0,9558.0,2986.0,1273.0,336.0,587.0,169.0,249.0,2700.0,3349.0,26.0,2199.0,1459.0,960.0,539.0,716.0,2959.0,1209.0,2303.0,679.0,268.0,285.0,318.0,256.0,97.0,238.0,1194.0,378.0,160.0,427.0,771.0,183.0,203.0,72.0,109.0,105.0,151.0,58.0,96.0,30.0,9.0,24.0,,,
belongings,16.0,4.0,,,2.0,,,,,,,,2.0,3.0,2.0,,3.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
questions,359.0,61.0,149.0,44.0,31.0,6.0,5.0,,5.0,74.0,93.0,3.0,66.0,28.0,38.0,,9.0,45.0,11.0,29.0,42.0,1.0,6.0,7.0,4.0,2.0,4.0,18.0,25.0,8.0,9.0,8.0,10.0,6.0,,1.0,8.0,6.0,,6.0,,,,,,
ever,7474.0,1015.0,4689.0,1723.0,595.0,177.0,163.0,75.0,100.0,1395.0,1812.0,12.0,1124.0,785.0,364.0,244.0,385.0,1615.0,670.0,930.0,471.0,206.0,117.0,152.0,73.0,46.0,101.0,606.0,197.0,61.0,179.0,324.0,184.0,89.0,40.0,52.0,40.0,44.0,47.0,85.0,2.0,,3.0,,,
taught,363.0,59.0,138.0,82.0,44.0,6.0,12.0,12.0,4.0,133.0,109.0,1.0,60.0,52.0,36.0,11.0,6.0,68.0,40.0,26.0,26.0,14.0,9.0,12.0,2.0,,1.0,14.0,11.0,3.0,17.0,16.0,7.0,3.0,1.0,3.0,,3.0,5.0,4.0,,,,,,
begin,780.0,115.0,398.0,108.0,55.0,29.0,37.0,5.0,12.0,116.0,105.0,3.0,210.0,34.0,50.0,14.0,28.0,91.0,83.0,61.0,50.0,23.0,16.0,3.0,9.0,12.0,2.0,36.0,39.0,9.0,22.0,43.0,9.0,15.0,8.0,6.0,1.0,2.0,3.0,5.0,2.0,,,,,
turn,5444.0,645.0,3531.0,865.0,395.0,70.0,82.0,44.0,120.0,1387.0,1961.0,17.0,969.0,387.0,357.0,110.0,139.0,1442.0,453.0,925.0,264.0,168.0,128.0,61.0,54.0,77.0,124.0,553.0,197.0,45.0,125.0,228.0,143.0,72.0,26.0,33.0,14.0,33.0,16.0,40.0,1.0,,4.0,,1.0,
step,1473.0,138.0,752.0,214.0,92.0,20.0,24.0,14.0,32.0,550.0,704.0,3.0,311.0,74.0,81.0,24.0,49.0,315.0,81.0,274.0,119.0,35.0,16.0,23.0,14.0,11.0,15.0,83.0,110.0,20.0,38.0,148.0,47.0,22.0,14.0,10.0,7.0,35.0,8.0,16.0,,,,,,2.0
train,983.0,119.0,346.0,126.0,209.0,11.0,27.0,8.0,6.0,105.0,93.0,3.0,119.0,179.0,38.0,87.0,148.0,59.0,59.0,62.0,30.0,8.0,4.0,9.0,34.0,14.0,4.0,24.0,54.0,5.0,24.0,13.0,33.0,29.0,3.0,1.0,4.0,10.0,5.0,6.0,,,,,,
name,4322.0,569.0,2468.0,523.0,313.0,67.0,92.0,42.0,96.0,1432.0,1606.0,11.0,823.0,294.0,187.0,58.0,628.0,1218.0,685.0,583.0,619.0,117.0,62.0,50.0,59.0,55.0,146.0,346.0,147.0,39.0,63.0,155.0,77.0,27.0,81.0,22.0,21.0,8.0,28.0,30.0,5.0,,2.0,,,
sound,2452.0,460.0,998.0,243.0,204.0,44.0,36.0,24.0,53.0,631.0,629.0,12.0,330.0,124.0,99.0,40.0,58.0,240.0,111.0,194.0,203.0,36.0,39.0,48.0,25.0,17.0,39.0,186.0,84.0,33.0,32.0,84.0,73.0,36.0,7.0,16.0,17.0,21.0,18.0,15.0,,1.0,,,,2.0
roof,210.0,36.0,186.0,31.0,17.0,5.0,4.0,1.0,6.0,157.0,167.0,,18.0,17.0,13.0,2.0,10.0,76.0,7.0,59.0,11.0,4.0,7.0,2.0,3.0,,2.0,18.0,9.0,3.0,1.0,17.0,8.0,5.0,2.0,,,1.0,1.0,2.0,,2.0,,,,
rain,3195.0,462.0,1874.0,664.0,380.0,45.0,111.0,22.0,50.0,420.0,523.0,12.0,476.0,292.0,67.0,48.0,217.0,507.0,340.0,400.0,193.0,63.0,33.0,23.0,71.0,42.0,33.0,136.0,189.0,30.0,85.0,144.0,49.0,60.0,3.0,10.0,40.0,8.0,19.0,39.0,3.0,4.0,,,,
taking,1331.0,221.0,1062.0,217.0,118.0,26.0,28.0,4.0,31.0,289.0,353.0,5.0,260.0,89.0,76.0,8.0,28.0,202.0,68.0,247.0,52.0,9.0,24.0,10.0,9.0,15.0,17.0,121.0,63.0,22.0,23.0,62.0,25.0,37.0,4.0,9.0,15.0,7.0,10.0,28.0,2.0,,,,,
wrist,61.0,15.0,43.0,2.0,7.0,1.0,1.0,1.0,1.0,229.0,242.0,,11.0,4.0,6.0,,1.0,65.0,4.0,7.0,1.0,2.0,2.0,,,1.0,3.0,10.0,,,1.0,2.0,,,,,,1.0,,4.0,,,,,,
watch,2954.0,422.0,1811.0,342.0,203.0,87.0,58.0,29.0,49.0,1277.0,1404.0,13.0,533.0,174.0,288.0,32.0,102.0,623.0,127.0,392.0,125.0,46.0,60.0,42.0,31.0,54.0,37.0,177.0,124.0,25.0,38.0,178.0,123.0,48.0,13.0,28.0,7.0,30.0,32.0,36.0,2.0,2.0,,1.0,,
move,2391.0,442.0,2090.0,482.0,220.0,36.0,47.0,40.0,62.0,1172.0,1358.0,1.0,329.0,184.0,136.0,48.0,155.0,743.0,232.0,633.0,176.0,150.0,69.0,21.0,45.0,12.0,74.0,359.0,76.0,58.0,99.0,203.0,95.0,47.0,22.0,13.0,21.0,15.0,34.0,25.0,4.0,,1.0,,,
please,3827.0,600.0,2132.0,626.0,335.0,115.0,177.0,56.0,79.0,929.0,1086.0,8.0,538.0,295.0,174.0,144.0,325.0,871.0,417.0,483.0,161.0,94.0,73.0,54.0,114.0,38.0,41.0,204.0,123.0,67.0,150.0,176.0,105.0,60.0,25.0,18.0,5.0,58.0,36.0,32.0,5.0,6.0,6.0,,,
day,11679.0,1717.0,5683.0,1865.0,1191.0,179.0,435.0,216.0,200.0,2188.0,2566.0,39.0,1959.0,1190.0,595.0,335.0,603.0,1834.0,935.0,1180.0,789.0,292.0,110.0,172.0,251.0,138.0,92.0,696.0,475.0,139.0,303.0,534.0,475.0,306.0,87.0,59.0,40.0,161.0,101.0,96.0,7.0,7.0,1.0,,1.0,2.0
guided,33.0,7.0,17.0,1.0,6.0,,1.0,,,6.0,4.0,,15.0,1.0,2.0,,,5.0,1.0,2.0,1.0,,,,,,2.0,4.0,4.0,,1.0,,1.0,,,,,,,1.0,,,,,,
sunlight,234.0,39.0,145.0,37.0,26.0,3.0,4.0,2.0,2.0,21.0,27.0,1.0,58.0,22.0,8.0,4.0,8.0,23.0,11.0,24.0,18.0,5.0,2.0,,4.0,1.0,10.0,17.0,10.0,7.0,1.0,9.0,4.0,4.0,1.0,1.0,2.0,,,9.0,,,,,,
mornings,50.0,15.0,42.0,15.0,13.0,,,,3.0,4.0,5.0,,10.0,8.0,2.0,1.0,5.0,8.0,4.0,5.0,2.0,,1.0,1.0,7.0,1.0,,6.0,3.0,1.0,5.0,1.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,
knell,2.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
soft,367.0,109.0,225.0,81.0,63.0,3.0,29.0,9.0,16.0,183.0,190.0,1.0,37.0,43.0,20.0,15.0,30.0,100.0,27.0,28.0,8.0,9.0,10.0,11.0,11.0,1.0,5.0,26.0,24.0,3.0,5.0,15.0,19.0,6.0,,6.0,,4.0,4.0,5.0,,,,,,
release,368.0,23.0,103.0,22.0,25.0,13.0,5.0,2.0,5.0,65.0,64.0,3.0,159.0,11.0,20.0,7.0,3.0,34.0,7.0,18.0,14.0,4.0,3.0,,3.0,2.0,5.0,10.0,12.0,4.0,7.0,6.0,1.0,1.0,,4.0,17.0,2.0,4.0,15.0,,,,,,
want,18022.0,2776.0,11904.0,3031.0,1084.0,335.0,352.0,80.0,350.0,4325.0,5924.0,29.0,2009.0,906.0,1011.0,282.0,739.0,4157.0,1471.0,3448.0,777.0,556.0,210.0,341.0,216.0,187.0,357.0,1593.0,374.0,185.0,405.0,733.0,510.0,240.0,111.0,182.0,76.0,172.0,99.0,125.0,31.0,,19.0,1.0,28.0,
know,36604.0,6010.0,25871.0,7260.0,2760.0,803.0,861.0,275.0,539.0,11573.0,14783.0,47.0,4340.0,2779.0,1928.0,679.0,1812.0,9961.0,3162.0,6367.0,2014.0,887.0,566.0,772.0,492.0,420.0,555.0,3192.0,800.0,359.0,907.0,1715.0,1146.0,576.0,149.0,204.0,206.0,340.0,199.0,375.0,133.0,4.0,30.0,,34.0,12.0
follow,1710.0,323.0,929.0,248.0,143.0,49.0,31.0,26.0,31.0,305.0,384.0,5.0,365.0,117.0,101.0,22.0,57.0,191.0,90.0,188.0,123.0,44.0,13.0,15.0,45.0,29.0,32.0,128.0,79.0,4.0,40.0,95.0,44.0,11.0,14.0,9.0,12.0,4.0,14.0,9.0,6.0,2.0,2.0,,,
smile,2215.0,314.0,1471.0,471.0,198.0,64.0,142.0,37.0,59.0,333.0,432.0,3.0,301.0,254.0,110.0,45.0,122.0,424.0,250.0,323.0,82.0,55.0,43.0,53.0,39.0,35.0,32.0,165.0,78.0,33.0,66.0,133.0,42.0,36.0,6.0,10.0,21.0,9.0,14.0,20.0,11.0,,1.0,1.0,1.0,
curves,23.0,7.0,18.0,9.0,4.0,,1.0,1.0,1.0,17.0,20.0,,7.0,5.0,2.0,3.0,,20.0,5.0,4.0,,,,,,,,4.0,1.0,,,3.0,,,,,,1.0,,1.0,,,,,,
lines,676.0,155.0,286.0,91.0,64.0,17.0,20.0,10.0,21.0,128.0,121.0,3.0,115.0,66.0,49.0,6.0,25.0,58.0,16.0,35.0,29.0,5.0,15.0,8.0,8.0,10.0,4.0,27.0,32.0,10.0,4.0,13.0,7.0,6.0,2.0,5.0,1.0,8.0,2.0,,1.0,,,,,
born,2118.0,277.0,731.0,247.0,226.0,38.0,32.0,22.0,7.0,373.0,409.0,41.0,519.0,237.0,70.0,86.0,90.0,201.0,154.0,192.0,153.0,62.0,20.0,17.0,24.0,14.0,9.0,63.0,84.0,10.0,70.0,84.0,102.0,14.0,6.0,12.0,4.0,16.0,33.0,11.0,,2.0,,,,
sorrows,98.0,10.0,28.0,9.0,23.0,3.0,5.0,,1.0,3.0,4.0,1.0,17.0,3.0,,3.0,18.0,12.0,11.0,4.0,20.0,2.0,1.0,,13.0,1.0,,3.0,3.0,,2.0,2.0,4.0,1.0,,,,1.0,,1.0,,,,,,
pleasures,56.0,6.0,12.0,7.0,9.0,2.0,,2.0,3.0,5.0,6.0,,16.0,7.0,5.0,4.0,,4.0,3.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
every,8158.0,1242.0,4907.0,1514.0,629.0,148.0,226.0,89.0,151.0,2088.0,2318.0,31.0,1061.0,886.0,395.0,189.0,349.0,1513.0,703.0,1104.0,707.0,178.0,125.0,130.0,117.0,62.0,129.0,566.0,257.0,61.0,280.0,428.0,257.0,205.0,62.0,53.0,75.0,115.0,73.0,76.0,14.0,5.0,8.0,,7.0,4.0
ends,751.0,109.0,339.0,83.0,40.0,11.0,15.0,13.0,16.0,120.0,140.0,1.0,166.0,38.0,63.0,5.0,8.0,74.0,39.0,52.0,41.0,14.0,29.0,6.0,7.0,2.0,4.0,35.0,25.0,2.0,5.0,40.0,21.0,2.0,2.0,4.0,2.0,3.0,2.0,6.0,,,8.0,,,2.0
face,6036.0,668.0,2713.0,786.0,374.0,148.0,113.0,62.0,162.0,1439.0,1481.0,38.0,1212.0,387.0,414.0,81.0,199.0,785.0,318.0,525.0,400.0,110.0,96.0,81.0,58.0,46.0,56.0,278.0,219.0,46.0,115.0,205.0,112.0,55.0,17.0,50.0,20.0,79.0,33.0,50.0,16.0,2.0,5.0,,,
deserves,32.0,13.0,14.0,6.0,1.0,1.0,1.0,,,20.0,15.0,,14.0,1.0,,,,10.0,2.0,2.0,9.0,2.0,,,,,,6.0,4.0,,,2.0,,1.0,,,,1.0,,,,,,,,
bread,219.0,27.0,65.0,21.0,41.0,8.0,4.0,2.0,7.0,183.0,182.0,3.0,23.0,41.0,1.0,7.0,14.0,49.0,19.0,10.0,11.0,9.0,,,9.0,1.0,5.0,9.0,10.0,,2.0,3.0,17.0,19.0,,1.0,4.0,3.0,1.0,3.0,,,,,,
reach,1266.0,185.0,735.0,311.0,102.0,16.0,37.0,17.0,34.0,218.0,219.0,4.0,326.0,86.0,74.0,26.0,33.0,211.0,100.0,157.0,147.0,29.0,22.0,10.0,16.0,18.0,14.0,87.0,60.0,13.0,47.0,72.0,45.0,18.0,9.0,3.0,11.0,10.0,20.0,19.0,4.0,,,,,
cage,307.0,40.0,96.0,22.0,27.0,7.0,3.0,2.0,4.0,46.0,56.0,1.0,65.0,21.0,25.0,2.0,6.0,30.0,2.0,21.0,13.0,21.0,3.0,2.0,,2.0,2.0,13.0,11.0,2.0,2.0,3.0,1.0,,,5.0,,1.0,,1.0,,,,,1.0,
applause,108.0,6.0,78.0,11.0,6.0,,5.0,4.0,4.0,27.0,25.0,,9.0,2.0,2.0,1.0,6.0,13.0,7.0,49.0,5.0,,,,1.0,1.0,,3.0,7.0,,,6.0,2.0,,,,,,,,,,,,,
stage,417.0,60.0,164.0,30.0,32.0,9.0,10.0,2.0,3.0,200.0,207.0,3.0,83.0,29.0,19.0,1.0,14.0,77.0,16.0,35.0,15.0,10.0,8.0,6.0,2.0,7.0,2.0,23.0,14.0,5.0,5.0,23.0,12.0,4.0,,3.0,8.0,1.0,,,,,,,,
river,1179.0,219.0,476.0,218.0,239.0,17.0,84.0,7.0,6.0,61.0,87.0,8.0,188.0,271.0,12.0,15.0,123.0,116.0,165.0,74.0,91.0,19.0,2.0,2.0,62.0,7.0,4.0,53.0,56.0,2.0,23.0,46.0,57.0,8.0,14.0,3.0,11.0,2.0,2.0,25.0,4.0,9.0,,,,
running,2778.0,473.0,1364.0,319.0,193.0,38.0,52.0,9.0,67.0,392.0,515.0,11.0,587.0,160.0,139.0,25.0,124.0,297.0,99.0,267.0,167.0,23.0,59.0,23.0,22.0,32.0,37.0,207.0,89.0,51.0,61.0,49.0,59.0,38.0,5.0,38.0,11.0,36.0,13.0,9.0,13.0,,5.0,,,1.0
city,2232.0,362.0,1088.0,192.0,228.0,24.0,49.0,10.0,64.0,1004.0,963.0,3.0,287.0,124.0,65.0,26.0,94.0,261.0,114.0,253.0,43.0,59.0,15.0,22.0,16.0,11.0,11.0,140.0,61.0,11.0,49.0,111.0,24.0,16.0,17.0,6.0,2.0,4.0,12.0,13.0,1.0,1.0,,,,
gently,179.0,31.0,98.0,38.0,11.0,3.0,4.0,1.0,11.0,7.0,9.0,2.0,22.0,19.0,6.0,7.0,10.0,18.0,11.0,9.0,11.0,,4.0,2.0,11.0,3.0,2.0,7.0,16.0,2.0,1.0,4.0,,2.0,,1.0,,,,1.0,,,,,,
reminding,47.0,8.0,23.0,4.0,3.0,5.0,5.0,1.0,,,1.0,,11.0,4.0,3.0,,4.0,5.0,4.0,5.0,7.0,,,1.0,,2.0,2.0,4.0,3.0,1.0,,,,,,3.0,,,,2.0,,,,,,
course,367.0,52.0,131.0,38.0,25.0,6.0,16.0,5.0,15.0,126.0,130.0,2.0,79.0,17.0,29.0,3.0,16.0,41.0,13.0,22.0,10.0,7.0,11.0,3.0,7.0,6.0,2.0,15.0,21.0,,6.0,19.0,7.0,5.0,4.0,,1.0,3.0,,3.0,,,,,,
invited,125.0,7.0,30.0,13.0,7.0,3.0,4.0,,,24.0,27.0,,9.0,6.0,1.0,1.0,4.0,16.0,2.0,8.0,2.0,1.0,1.0,4.0,1.0,,1.0,4.0,1.0,,1.0,1.0,3.0,,1.0,2.0,,1.0,,1.0,,,,,,
think,9580.0,1598.0,6435.0,1750.0,667.0,191.0,258.0,99.0,214.0,2644.0,3221.0,12.0,1081.0,809.0,675.0,184.0,361.0,2105.0,807.0,1584.0,331.0,221.0,157.0,222.0,127.0,95.0,84.0,593.0,238.0,59.0,254.0,442.0,142.0,128.0,42.0,60.0,31.0,133.0,37.0,70.0,34.0,1.0,26.0,,2.0,
really,5177.0,731.0,3775.0,1098.0,375.0,118.0,113.0,30.0,77.0,1848.0,2248.0,23.0,651.0,334.0,294.0,94.0,246.0,1366.0,525.0,988.0,174.0,128.0,50.0,78.0,109.0,77.0,43.0,355.0,163.0,40.0,163.0,353.0,187.0,122.0,36.0,27.0,23.0,100.0,18.0,37.0,7.0,2.0,3.0,,1.0,
world,11870.0,1297.0,5892.0,1666.0,714.0,202.0,184.0,119.0,226.0,1841.0,2247.0,71.0,2479.0,830.0,691.0,219.0,406.0,1825.0,984.0,1320.0,953.0,290.0,165.0,169.0,178.0,118.0,145.0,604.0,498.0,89.0,419.0,551.0,273.0,174.0,116.0,118.0,88.0,94.0,68.0,84.0,5.0,16.0,7.0,,2.0,6.0
hold,6112.0,934.0,4161.0,1271.0,448.0,147.0,173.0,46.0,65.0,1471.0,1796.0,9.0,760.0,555.0,285.0,186.0,249.0,1257.0,644.0,1025.0,442.0,112.0,97.0,110.0,108.0,20.0,104.0,462.0,152.0,54.0,192.0,323.0,182.0,134.0,30.0,45.0,48.0,47.0,33.0,43.0,6.0,9.0,3.0,,,
security,65.0,16.0,34.0,2.0,4.0,,,1.0,1.0,47.0,42.0,,15.0,,6.0,,13.0,17.0,5.0,4.0,5.0,,,1.0,,2.0,,1.0,6.0,1.0,2.0,5.0,4.0,2.0,,3.0,,2.0,,1.0,,,,,,
gravity,266.0,41.0,101.0,27.0,8.0,10.0,,,4.0,31.0,41.0,,20.0,8.0,36.0,,2.0,36.0,6.0,30.0,23.0,1.0,,1.0,21.0,1.0,4.0,42.0,7.0,15.0,,15.0,2.0,,1.0,,4.0,,1.0,6.0,,,,,2.0,
love,34587.0,5204.0,29736.0,9761.0,3409.0,587.0,1915.0,581.0,565.0,5254.0,9166.0,9.0,3149.0,4072.0,829.0,1628.0,2278.0,12316.0,6252.0,7866.0,2524.0,1438.0,431.0,354.0,877.0,438.0,956.0,3854.0,875.0,521.0,2284.0,2036.0,1455.0,703.0,154.0,127.0,179.0,281.0,363.0,346.0,101.0,4.0,23.0,,2.0,
cant,19460.0,2704.0,12282.0,3465.0,1062.0,500.0,478.0,102.0,305.0,5391.0,6098.0,46.0,3116.0,1473.0,1333.0,379.0,940.0,4637.0,1670.0,3066.0,704.0,497.0,359.0,317.0,246.0,207.0,308.0,1608.0,465.0,228.0,528.0,837.0,423.0,225.0,65.0,118.0,110.0,143.0,97.0,208.0,27.0,7.0,9.0,,2.0,
anyone,954.0,163.0,562.0,173.0,75.0,15.0,32.0,22.0,23.0,89.0,90.0,,119.0,54.0,73.0,13.0,28.0,112.0,62.0,99.0,61.0,20.0,33.0,34.0,17.0,6.0,21.0,54.0,37.0,8.0,21.0,50.0,9.0,14.0,4.0,9.0,18.0,4.0,,3.0,,,,,,
blame,1345.0,181.0,574.0,171.0,70.0,28.0,39.0,7.0,14.0,155.0,169.0,,248.0,74.0,111.0,41.0,67.0,181.0,51.0,94.0,50.0,19.0,42.0,21.0,6.0,6.0,44.0,54.0,27.0,17.0,14.0,38.0,27.0,23.0,,11.0,6.0,10.0,7.0,9.0,2.0,,1.0,,,
enough,3783.0,518.0,2349.0,632.0,296.0,91.0,71.0,17.0,35.0,606.0,786.0,5.0,448.0,367.0,237.0,55.0,98.0,668.0,316.0,636.0,202.0,56.0,131.0,74.0,40.0,12.0,68.0,238.0,105.0,29.0,150.0,146.0,61.0,38.0,8.0,37.0,18.0,23.0,8.0,13.0,5.0,,,,,
wont,9655.0,1447.0,5416.0,1452.0,797.0,197.0,242.0,64.0,157.0,1743.0,2032.0,38.0,1525.0,761.0,640.0,245.0,557.0,1653.0,779.0,1276.0,443.0,159.0,211.0,180.0,115.0,105.0,100.0,689.0,239.0,174.0,183.0,434.0,200.0,176.0,38.0,40.0,31.0,75.0,70.0,51.0,14.0,1.0,14.0,1.0,,
back,15496.0,2295.0,8577.0,2356.0,1301.0,370.0,254.0,83.0,184.0,6155.0,6954.0,53.0,2209.0,1531.0,926.0,429.0,719.0,3161.0,948.0,1858.0,621.0,218.0,278.0,234.0,171.0,137.0,174.0,1255.0,366.0,198.0,255.0,572.0,339.0,250.0,45.0,65.0,52.0,129.0,85.0,153.0,22.0,18.0,17.0,,3.0,
cursed,128.0,24.0,16.0,5.0,20.0,2.0,1.0,,2.0,21.0,15.0,,69.0,9.0,14.0,,1.0,6.0,2.0,2.0,2.0,10.0,7.0,3.0,2.0,2.0,,,6.0,,,2.0,,,,,,,,,,,,,,
